Word,Level
倔,HSK7-9
倔强,HSK7-9
倘若,HSK7-9
候选人,HSK7-9
倚,HSK7-9
借,HSK2
借助,HSK7-9
借口,HSK7-9
借条,HSK7-9
借用,HSK7-9
借鉴,HSK6
倡导,HSK5
倡议,HSK7-9
债,HSK6
债务,HSK7-9
值,HSK3
值得,HSK3
值班,HSK5
值钱,HSK7-9
倾向,HSK6
倾听,HSK7-9
倾家荡产,HSK7-9
倾斜,HSK7-9
倾诉,HSK7-9
倾销,HSK7-9
假,HSK2
假使,HSK7-9
假冒,HSK7-9
假如,HSK4
假定,HSK7-9
假日,HSK6
假期,HSK2
假装,HSK7-9
假设,HSK7-9
偏,HSK6
偏偏,HSK7-9
偏僻,HSK7-9
偏向,HSK7-9
偏差,HSK7-9
偏方,HSK7-9
偏见,HSK7-9
偏远,HSK7-9
做,HSK1
做到,HSK2
做客,HSK3
做梦,HSK4
做法,HSK2
做生意,HSK7-9
做证,HSK7-9
做饭,HSK2
停,HSK2
停下,HSK4
停业,HSK7-9
停放,HSK7-9
停止,HSK3
停泊,HSK7-9
停电,HSK7-9
停留,HSK5
停车,HSK2
停车位,HSK7-9
停车场,HSK2
停顿,HSK7-9
健全,HSK5
健壮,HSK7-9
健康,HSK2
健美,HSK7-9
健身,HSK4
偶像,HSK5
偶尔,HSK5
偶然,HSK5
偷,HSK5
偷偷,HSK5
偷懒,HSK7-9
偷看,HSK7-9
偷窥,HSK7-9
偿还,HSK7-9
傍晚,HSK6
储备,HSK7-9
储存,HSK6
储蓄,HSK7-9
催,HSK7-9
催促,HSK7-9
催眠,HSK7-9
傲,HSK7-9
傲慢,HSK7-9
傻,HSK5
傻瓜,HSK7-9
像,HSK2
像样,HSK7-9
僧人,HSK7-9
僵,HSK7-9
僵化,HSK7-9
僵局,HSK7-9
僻静,HSK7-9
儒学,HSK7-9
儒家,HSK7-9
儿女,HSK5
儿子,HSK1
儿科,HSK6
儿童,HSK4
允许,HSK6
元,HSK1
元宵节,HSK7-9
元旦,HSK5
元素,HSK6
元老,HSK7-9
元首,HSK7-9
兄弟,HSK4
充,HSK7-9
充分,HSK4
充实,HSK7-9
充当,HSK7-9
充沛,HSK7-9
充满,HSK3
充电,HSK4
充电器,HSK4
充足,HSK5
兆头,HSK7-9
先,HSK1
先例,HSK7-9
先前,HSK5
先后,HSK5
先天,HSK7-9
先生,HSK1
先进,HSK3
先锋,HSK6
光,HSK3
光临,HSK4
光彩,HSK7-9
光明,HSK3
光明磊落,HSK7-9
光泽,HSK7-9
光滑,HSK7-9
光环,HSK7-9
光盘,HSK4
光碟,HSK7-9
光线,HSK5
光缆,HSK7-9
光芒,HSK7-9
光荣,HSK5
光辉,HSK6
光顾,HSK7-9
克,HSK2
克制,HSK7-9
克服,HSK3
克隆,HSK7-9
免,HSK7-9
免不了,HSK7-9
免得,HSK6
免疫,HSK7-9
免职,HSK7-9
免费,HSK4
免除,HSK7-9
兑换,HSK7-9
兑现,HSK7-9
兔,HSK5
党,HSK6
兜,HSK7-9
兜儿,HSK7-9
兜售,HSK7-9
兢兢业业,HSK7-9
入,HSK6
入侵,HSK7-9
入口,HSK2
入场,HSK7-9
入场券,HSK7-9
入境,HSK7-9
入学,HSK6
入手,HSK7-9
入选,HSK7-9
入门,HSK5
全,HSK2
全世界,HSK5
全体,HSK2
全力,HSK6
全力以赴,HSK7-9
全国,HSK2
全场,HSK3
全家,HSK2
全局,HSK7-9
全年,HSK2
全心全意,HSK7-9
全文,HSK7-9
全新,HSK6
全方位,HSK7-9
全球,HSK3
全程,HSK7-9
全能,HSK7-9
全身,HSK2
全部,HSK2
全都,HSK5
全长,HSK7-9
全面,HSK3
八,HSK1
八卦,HSK7-9
公,HSK6
公主,HSK6
公事,HSK7-9
公交车,HSK2
公仆,HSK7-9
公众,HSK6
公元,HSK4
公共,HSK3
公共场所,HSK7-9
公共汽车,HSK2
公关,HSK7-9
公函,HSK7-9
公务,HSK7-9
公务员,HSK3
公司,HSK2
公告,HSK5
公园,HSK2
公墓,HSK7-9
公安,HSK6
公安局,HSK7-9
公寓,HSK7-9
公布,HSK3
公平,HSK2
公开,HSK3
公开信,HSK7-9
公式,HSK5
公斤,HSK2
公款,HSK7-9
公正,HSK5
公民,HSK3
公然,HSK7-9
公用,HSK7-9
公益,HSK7-9
公益性,HSK7-9
公示,HSK7-9
公积金,HSK7-9
公立,HSK7-9
公约,HSK7-9
公职,HSK7-9
公认,HSK5
公证,HSK7-9
公费,HSK7-9
公路,HSK2
公车,HSK7-9
公道,HSK7-9
公里,HSK2
公顷,HSK7-9
公鸡,HSK6
六,HSK1
共,HSK4
共享,HSK5
共同,HSK3
共同体,HSK7-9
共性,HSK7-9
共有,HSK3
共计,HSK5
共识,HSK7-9
共鸣,HSK7-9
关,HSK1
关上,HSK1
关于,HSK4
关头,HSK7-9
关心,HSK2
关怀,HSK5
关掉,HSK7-9
关机,HSK2
关注,HSK3
关照,HSK7-9
关爱,HSK6
关税,HSK7-9
关系,HSK3
关联,HSK6
关节,HSK7-9
关键,HSK5
关闭,HSK4
兴奋,HSK4
兴奋剂,HSK7-9
兴建,HSK7-9
兴旺,HSK6
兴致,HSK7-9
兴起,HSK7-9
兴趣,HSK4
兴高采烈,HSK7-9
兵,HSK4
其,HSK5
其中,HSK2
其他,HSK2
其余,HSK4
其后,HSK7-9
其实,HSK3
其次,HSK3
其间,HSK7-9
具体,HSK3
具备,HSK4
具有,HSK3
典型,HSK4
典礼,HSK5
典范,HSK7-9
兹,HSK7-9
养,HSK2
养成,HSK4
养殖,HSK7-9
养活,HSK7-9
养生,HSK7-9
养老,HSK6
养老金,HSK7-9
养老院,HSK7-9
兼,HSK7-9
兼任,HSK7-9
兼容,HSK7-9
兼职,HSK7-9
兼顾,HSK7-9
内,HSK3
内向,HSK7-9
内在,HSK5
内地,HSK6
内外,HSK6
内存,HSK7-9
内容,HSK3
内幕,HSK7-9
内心,HSK3
内涵,HSK7-9
内科,HSK4
内行,HSK7-9
内衣,HSK6
内部,HSK4
内阁,HSK7-9
内需,HSK7-9
册,HSK5
再,HSK1
再三,HSK4
再也,HSK5
再度,HSK7-9
再次,HSK5
再现,HSK7-9
再生,HSK6
再见,HSK1
再说,HSK6
冒,HSK5
